,colsample_bytree,eta,eval_metric,gamma,max_depth,objective,subsample,tree_method,scores_mae,scores_rmse
0,0.6015877121601333,0.03383497136629508,mae,0.053701191665621595,7,reg:linear,0.7634807174249806,gpu_hist,3.4746850254162687,4.6849300985129965
1,0.5143750856805138,0.10274658563064265,mae,0.18122241679509266,6,reg:linear,0.9886684242627791,gpu_hist,3.3113271414500014,4.466892751331858
2,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.547641267351004,4.708116139491795
3,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.465205322173926,4.8671598497963515
4,0.5484114962752848,0.04254716894328666,mae,0.9754575103417759,6,reg:linear,0.9565729201508675,gpu_hist,3.4790584061145777,4.679736822588866
5,0.6073896714381939,0.08907245581660149,mae,0.357339616285376,8,reg:linear,0.892402295661575,gpu_hist,3.614305544426105,4.778496120212134
6,0.7538164505958742,0.028678764348327015,mae,0.9946899633022496,8,reg:linear,0.9156530712284694,gpu_hist,3.3568531552094676,4.501711424355601
7,0.819960510663762,0.051572453348623454,mae,0.9446689170495839,7,reg:linear,0.8243985819971571,gpu_hist,3.6215117285068215,4.959849741111442
8,0.6015877121601333,0.03383497136629508,mae,0.053701191665621595,7,reg:linear,0.7634807174249806,gpu_hist,3.430636457846715,4.591309508874034
9,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.914155788551844,gpu_hist,3.190599930671545,4.352811802806954
10,0.8173214400340736,0.012632115165808932,mae,0.1970913158305082,9,reg:linear,0.7006988788601123,gpu_hist,3.233429507207285,4.356740575060865
11,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.594317563900581,4.855517397088011
12,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.627402467067425,4.853996627677082
13,0.6073896714381939,0.08907245581660149,mae,0.357339616285376,8,reg:linear,0.892402295661575,gpu_hist,3.3532020418277155,4.542750649639046
14,0.5786557529365179,0.030528695004489216,mae,0.07531750240101309,9,reg:linear,0.9701605076353589,gpu_hist,3.5358830273481514,4.732849927677361
15,0.8353189348090797,0.07101094271141385,mae,0.1289262976548533,6,reg:linear,0.8091132312827868,gpu_hist,3.61874654110224,4.863753589552336
16,0.8363083529393841,0.12608850980568648,mae,0.9615739052538369,8,reg:linear,0.871250177893489,gpu_hist,3.6572654182140645,5.073736460927695
17,0.7842508219831559,0.0704764914908046,mae,0.3939119475404125,9,reg:linear,0.9265946458317066,gpu_hist,3.6217877865938037,4.696706664587857
18,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.194607181273974,4.155155794690311
19,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.5608267577061286,4.852520867622538
20,0.647469209459016,0.08403976476391463,mae,0.2205022738970106,9,reg:linear,0.7777380559708187,gpu_hist,3.4591950140116405,4.796365872042364
21,0.8913002538688781,0.08364641123899878,mae,0.585427126850794,7,reg:linear,0.7433989672646772,gpu_hist,3.3178531481302693,4.453167116243503
22,0.5786557529365179,0.030528695004489216,mae,0.07531750240101309,9,reg:linear,0.9701605076353589,gpu_hist,3.4177831669037158,4.567037870694455
23,0.819960510663762,0.051572453348623454,mae,0.9446689170495839,7,reg:linear,0.8243985819971571,gpu_hist,3.422421553153258,4.551873647879405
24,0.8252653687195268,0.07749238522378338,mae,0.3247125426353349,8,reg:linear,0.8518487228464295,gpu_hist,3.371140961570006,4.586474188305644
25,0.5143750856805138,0.10274658563064265,mae,0.18122241679509266,6,reg:linear,0.9886684242627791,gpu_hist,3.666517594840629,4.954288337242648
26,0.8221257109825031,0.09789937078922971,mae,0.14139534536259213,7,reg:linear,0.7502252758312178,gpu_hist,3.4030424757920783,4.628421058310376
27,0.6400346820948016,0.08331071033802616,mae,0.4377192284389271,8,reg:linear,0.7336779980459828,gpu_hist,3.560242034468284,4.565099091200433
28,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.2937660763997294,4.497183949974609
29,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,3.473378073288844,4.710437352255415
30,0.5786557529365179,0.030528695004489216,mae,0.07531750240101309,9,reg:linear,0.9701605076353589,gpu_hist,3.250221515360054,4.478702774633256
31,0.819960510663762,0.051572453348623454,mae,0.9446689170495839,7,reg:linear,0.8243985819971571,gpu_hist,3.3907930598258966,4.67335584962453
32,0.7063215299237193,0.15444666078707428,mae,0.2902201870074773,8,reg:linear,0.9587177020501374,gpu_hist,3.8318384548113897,5.13513808729958
33,0.7842508219831559,0.0704764914908046,mae,0.3939119475404125,9,reg:linear,0.9265946458317066,gpu_hist,3.385244320392608,4.612473774825968
34,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.3629644211805787,4.443353710113673
