,scores_mae,scores_rmse
0,3.5592830141949134,4.901196341564822
1,3.5179724080860613,4.645746954628608
2,3.9464627994674903,5.283763665676268
3,3.838093765909855,5.292146587054087
4,3.8430277447883894,5.223627762513344
5,3.6746853487563826,4.820948095615058
6,3.8198001159292008,4.97809003604716
7,3.975769631353708,5.313740161960285
8,3.9527274939761714,5.051148257220995
9,3.4302508389972726,4.5798430806775965
10,3.6180528396500584,4.911772820186916
11,3.937818744223851,5.176394196786248
12,3.7960009905260343,5.154945901190783
13,3.5538676859209173,4.9066449022024035
14,3.4579940794875985,4.722310292793189
15,3.909266080634177,5.206852858003479
16,3.783496983272296,5.1293659628313995
17,3.803097865565465,5.118589316231396
18,3.515161476061894,4.605251401470039
19,3.882125015659974,5.345837232577596
20,3.790408096348216,5.176231063634606
21,3.3995465184358453,4.529308529286353
22,3.7138820157051087,4.961233427745676
23,3.7366168935665716,4.912749581084562
24,3.7677369056261503,5.116682425099384
25,3.86856741498173,5.2954917801192405
26,3.579838955588065,4.902153971099988
27,3.619622184428802,4.850658206398238
28,3.4521083448987744,4.579624234598627
29,3.6453730681607355,4.636344602021789
30,3.7094903006235516,5.01214188061365
31,3.5799064658100788,4.9043086690496756
32,3.9086374901932013,5.224509059924435
33,3.5936259020498165,4.696158842986168
34,3.5155737156684586,4.73377725069702
